Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
36.9,23.9,4.3,20.2,8.3
57.9,9.9,14.2,12.7,2.5
44.5,38.2,3.4,10.6,0
47.9,15.9,4.9,20.9,9.5
28.2,8.7,32.5,24.9,2.3
63.1,9.6,8.8,13,4.2
30.4,40.3,10.6,16.1,0
25.6,25.6,0.5,19.7,15
57.8,24.1,7.3,9.4,0
40.4,33.5,14.8,8.6,0
31.6,33.2,1.4,24.7,7.2
0,0,0,0,0
24.9,29.7,3.7,17.2,11
43.1,35.5,7.8,11.8,0
40.7,38,11.1,7.4,0
35.8,56.1,5.3,0,0
55,9.5,14.1,17.7,2.4
47.6,33.8,10,6.3,0
62.2,16.1,10.8,0,0
48.2,15.7,32.1,1.4,0
57.3,23.9,15.8,0,0
79,10.8,5.7,0,0
55.4,33.1,9.1,0,0
28.8,14.4,22.3,24.5,7.4
53.2,11.8,14.6,15.3,3.2
31.6,24.6,6.7,23.8,9.1
38.2,21.5,7.9,28.8,0
38.3,40.9,10.5,7.6,0
66.9,10.8,17.1,0,0
0,0,0,0,0
48.1,16.6,35.3,0,0
40.2,11.5,26.4,16.1,4.6
24.6,17.1,15.5,37.1,4.5
47.4,9.3,19.5,14.4,2.3
51.8,21.5,15.9,6.4,0
50.4,34.8,7.2,5.6,0
52.4,39.2,3.2,2.8,0
41.9,45.5,6,3.9,0
18.8,7.7,23.3,46.8,2
29.4,36.8,1.6,23.9,5.9
40.7,25,22.1,7.8,0
28.1,26.6,0.3,19.1,11.2
26.1,36.9,22.7,9.7,0
64.9,17.8,12.7,0,0
54.9,22.4,22.7,0,0
49.7,31.5,10,6.2,0
46.9,15.4,4.3,24,8.3
51,20,27.6,0,0
44.7,45.5,7.4,0,0
42.4,34.7,9.2,10.7,0
37.2,50.1,3.2,6.7,0
35.2,18.1,42.6,2.1,0
44.3,12.2,3.3,25.5,8.9
44.1,26.3,18.4,7.4,0
80.3,4.6,11.8,0,0
81.7,6.5,8.3,0,0
48.1,21.4,2.6,20.8,6.5
48.8,9.9,18.5,16.1,3.1
24.9,8.4,31.3,29.3,3.4
