State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,0.00013614894694796107,0.00013497875077166162,0.0001264522247688295,0.000130866434940545,0.00012995633467155035,0.00013009340706627358,0.00013841706247355245,0.00013772768714476926,0.00011952451653266847,0.00011547322604256493,0.0001210579346026413,0.00010646066838622436,9.611760271390879e-05,8.99091343854615e-05,7.950404985873487e-05,7.842952714838082e-05,9.107053412868267e-05
Alaska,0.00019111019095093245,0.00015809594986921152,0.0001633497590591054,0.0001751384267180406,0.00017491691446562882,0.00017165568510424782,0.0001685444244207906,0.0001591596371160274,0.00016744809109176155,0.00016149670174043753,0.00013342713665364742,0.00013180598159509202,0.00012012444892909053,9.986019572598362e-05,0.00011871941326227756,0.0001227110971735544,0.0001264346824382226
Arizona,0.0001942666434210854,0.00019298747832911442,0.0001770442004823678,0.0001664364296057121,0.00015579334013431185,0.0001755633649843332,0.00018217829862958196,0.00017024831933434338,0.0001656773633304578,0.00014237845320612313,0.00013457997866144256,0.00013099310512333138,0.00012407416398288855,0.000113899642355123,0.00011239788852537985,9.815247854904108e-05,8.901490606963845e-05
Arkansas,0.00017547983802879857,0.0001596096404222815,0.00015475035221824957,0.00017944535073409463,0.0001879188324871393,0.00016347938627113737,0.0001555415042215993,0.00014241805993481889,0.00011702565075750387,0.00011974802494540435,0.00011922316694380824,0.00010332778076976066,9.720488909235719e-05,9.748642265710252e-05,9.168945729326399e-05,9.224857491856678e-05,8.324048817344757e-05
California,0.00014823028097164567,0.00016582744477123282,0.00016733201061363038,0.000173797802657246,0.0001700432626108305,0.00016768522524071285,0.0001637467851124841,0.0001592732148223491,0.00016098143415962097,0.00015472009215444904,0.00014645179594084066,0.00013022738775943108,0.00011844944295111402,0.00010636472418467916,9.900174779721111e-05,0.00010280042955053629,0.00010515065765868049
Colorado,0.00020651075779325035,0.00020358834436768854,0.00020722116418823576,0.00020847134006156723,0.0002224866266190739,0.00022493554731432724,0.00021038466276854844,0.00020009968602540174,0.00019129515932153984,0.0001796938735170763,0.00016275235460199973,0.00014073323754206795,0.00012599755156109265,0.00011566798259951219,0.00012162511423469931,0.00015149967657372416,0.00013914412786327222
Connecticut,0.00018878435256251548,0.0002052349791790601,0.000220899409384737,0.00022920337501969716,0.00021553435504180233,0.0001935581600192997,0.00019799366420274552,0.0001865890456236872,0.00016749038989566172,0.00016216742164610744,0.00014360403580527292,0.00014155654528629811,0.0001295904165295168,0.00011335035306058834,0.00011305212473760345,0.00012126059417691146,0.00012001137499119482
Delaware,0.00018102004797031272,0.00017677018770784306,0.00018427585010785558,0.00016243610846400415,0.00015220865632372606,0.00017320891159850174,0.00019188333493236112,0.00016985138004246286,0.0001402061029713679,0.00015799504290552884,0.00015673981191222572,0.00013828662867076917,0.00012057272042200452,0.00010282353425051926,0.00010471313835746971,0.00010613908465653392,0.00010807889759524453
District of Columbia,0.00016292172968569683,0.00015606600173091384,0.00018405754866021443,0.00019633966762499123,0.0001950505912471047,0.00018902028423925242,0.00017319616197305067,0.0001731661702569786,0.00017230370047535552,0.0001761055804750707,0.00017955786516260549,0.00014971820894245475,0.00012811342308390362,0.00012806693631871592,0.000132406487917908,0.00013710368466152527,0.00011571395510298542
Florida,0.00016875195872809238,0.00016522267675208398,0.00016923051871770955,0.0001671082289190137,0.00015796926851233988,0.00015358891729377454,0.00014574553273317208,0.0001378339635858884,0.0001329017044514314,0.00013169117500685254,0.00011965543291437032,0.00010804222936557502,0.00010279910887282288,9.940937643439869e-05,9.948512620836165e-05,8.260442576156691e-05,7.104792105604812e-05
Georgia,0.00014912918077312375,0.00012614969419039298,0.00011912633954035404,0.00014098910809495915,0.0001407359793028279,0.0001371224503481609,0.00014992903030440526,0.0001408469469520911,0.00012569083057251235,0.00011702232546396588,0.00010999470025535134,0.00011821024278218183,0.00010586586615324712,8.722394072368894e-05,7.865487506531971e-05,8.052513243669955e-05,7.856779045699361e-05
Hawaii,0.00017916914381581412,0.00018072190185157804,0.00017858447451518373,0.0001765182576043263,0.00019026478515934677,0.0001786033220217896,0.00016029922522041144,0.00016773406526379993,0.00017162770220355045,0.00017376320419348532,0.00015689071135674808,0.00012794450051888603,0.0001068010936431989,9.595370602736895e-05,0.00010902068278096188,0.00011295788284653864,0.00012415163052474756
Idaho,0.00018229767995819307,0.00016582962190846205,0.00016209894983037503,0.00018128124908628403,0.00018147173577715272,0.00017123287671232877,0.0001642635517430188,0.00016345401688246488,0.00015645824882656314,0.0001443434681693784,0.00013294490300802292,0.00012690282128044946,0.00012044668513515838,0.00010848154386365583,0.00010166677021615485,9.969592742136484e-05,0.00010353602781304663
Illinois,0.0001947877971600084,0.00020706594693399593,0.00019975616951550243,0.00018836468527634788,0.00018762236430683302,0.00018642558396601372,0.00017583385958058493,0.00016914193679158973,0.00016430681894823545,0.00015352310415107822,0.00013624955181068484,0.0001311962444895785,0.0001210224669565443,0.00010926931608335063,0.00012121794469061706,0.00011418174879865025,9.857697639196039e-05
Indiana,0.00019156191068106645,0.000179931963226405,0.00018320206200967025,0.00019352571117141397,0.0001725825749610239,0.00016379823009371916,0.00016934950645663402,0.00015975215594092593,0.00015282667389954468,0.0001548148797650102,0.00014562439521644276,0.00013240291016192336,0.0001252128955818697,0.00011438460410142819,0.00010648392766641146,0.00010162408843192677,0.00010180161715262234
Iowa,0.00019645973856618557,0.00023426739223699958,0.00023204219772259073,0.00022078473201894735,0.0002034919213707216,0.00018490418734609662,0.00019712027867511636,0.0001971028734171068,0.0001857236548093721,0.00016173331908539808,0.00013753424029524017,0.00013887235646550014,0.00012887717165038426,0.00011971780008797866,0.00014186646193389024,0.0001425158234480446,0.00011875376407020044
Kansas,0.00018470689520231666,0.00020654150867782607,0.00020455954056537815,0.0001938610662358643,0.0002017768782323104,0.0002022206943325317,0.00019266864721749182,0.00017826389098709854,0.00015955849226610602,0.00013076860806157333,0.0001360418019355038,0.00013803723324304676,0.00012474860114221036,0.00011909124221326494,0.00011402051752988416,0.00010233319688907081,0.0001030319492708148
Kentucky,0.0001473907438612855,0.0001412769226354327,0.0001412734922365801,0.0001465921828027072,0.00015109848599317036,0.00013395375070501974,0.00014232882625383529,0.0001410516181755085,0.0001117832719621252,0.00011964246480880046,0.00012910527889967873,0.00011890303457530384,0.00010150631136638069,9.977497558697406e-05,8.962179602079225e-05,8.16040784859437e-05,9.093507235833614e-05
Louisiana,0.00017481054442326468,0.00015810538275290887,0.00014285897438245546,0.00013935100609517484,0.0001464209959793586,0.00014398399831888953,0.0001489066813282476,0.00014224643151118814,0.0001370483590362455,0.00013929995095878438,0.00011496080794455823,0.00010211237756147936,0.00010514510023832889,9.9351039013166e-05,9.974818672046283e-05,0.00010641982830934367,8.753931262423644e-05
Maine,0.0001838925454559386,0.00017878293516883814,0.0001675578803199627,0.00017912586577501792,0.00019567786726778908,0.000183420391562662,0.00017571183259454496,0.00016382955485169524,0.00014680430213870687,0.00015431979691514727,0.00014763703047539125,0.0001334589417490972,0.00011911284751173262,0.00011221455422768333,0.00010467241559780026,0.00011414129061187884,0.00010727754350929601
Maryland,0.00016034246166696497,0.00016905045796488427,0.00015211997545098326,0.00016646616360706435,0.00018662540548610828,0.0001739104260972661,0.00015218981506482794,0.00013794043569703737,0.00012212935748709205,0.0001336834566722368,0.00013146057449854917,0.00011907521425600219,0.00011186057697685605,0.00011492671398625735,0.00010507840655163865,8.499730841856674e-05,8.630726741037582e-05
Massachusetts,0.00018437482807790728,0.0001981070428532145,0.00019352246337845904,0.00019314368737243868,0.00020517200951328176,0.00019366391672997113,0.00018991673997364905,0.0001984297937113421,0.00019119131834271174,0.00016259803035249953,0.0001483750353197095,0.00014320089807420364,0.00012551378242756333,0.00012875276439758854,0.00014134792918973563,0.00013868191663451767,0.00011787639962380952
Michigan,0.0001832549002360323,0.00017226031690486992,0.0001888813636155131,0.00020530055277399937,0.00019086095642343006,0.00017582506602645476,0.00016836844536121932,0.00015758359673173443,0.00014785604148050734,0.0001393067078456081,0.00013546342036105518,0.00012738007883212203,0.00011484249531209345,0.00010825078459266582,9.627882347277717e-05,9.616326874519756e-05,0.00010397114058197846
